screen	kind	x	y	w	h	font	color	fill	just	thick	state	text
SERIAL DECODE - 240B FRAME	text	334	32	0	0	1	16777215	-1	0	1	enable	1.65 V
SERIAL DECODE - 240B FRAME	text	417	14	0	0	1	11053224	-1	0	1	enable	SA/BIT
SERIAL DECODE - 240B FRAME	text	417	32	0	0	1	16777215	-1	0	1	enable	10.4
SERIAL DECODE - 240B FRAME	text	490	14	0	0	1	11053224	-1	0	1	enable	RATE
SERIAL DECODE - 240B FRAME	text	490	32	0	0	1	16777215	-1	0	1	enable	100 kS/s
SERIAL DECODE - 240B FRAME	text	573	14	0	0	1	11053224	-1	0	1	enable	BYTES
SERIAL DECODE - 240B FRAME	text	573	32	0	0	1	8454016	-1	0	1	enable	97
SERIAL DECODE - 240B FRAME	text	636	14	0	0	1	11053224	-1	0	1	enable	ERR
SERIAL DECODE - 240B FRAME	text	636	32	0	0	1	8454016	-1	0	1	enable	0
SERIAL DECODE - 240B FRAME	text	679	14	0	0	1	11053224	-1	0	1	enable	FIT
SERIAL DECODE - 240B FRAME	text	679	32	0	0	1	8454016	-1	0	1	enable	1.00
SERIAL DECODE - 240B FRAME	text	721	14	0	0	1	11053224	-1	0	1	enable	S/N
SERIAL DECODE - 240B FRAME	text	721	32	0	0	1	8454016	-1	0	1	enable	41 dB
SERIAL DECODE - 240B FRAME	rect	97	19	5	1	1	16760832	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	97	20	1	4	1	16760832	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	101	20	1	4	1	16760832	100	0	1	enable	
SERIAL DECODE - 240B FRAME	rect	95	24	9	7	1	16760832	100	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	48	0	0	1	16776960	-1	0	1	enable	Free run
SERIAL DECODE - 240B FRAME	text	112	48	0	0	1	16760832	-1	0	1	enable	Rear BNC = Trig In is set but IGNORED -- Free run means do not wait for...  (+2 more)
SERIAL DECODE - 240B FRAME	text	8	66	0	0	1	16777215	-1	0	1	enable	GPS: $GPGGA,123519,4807.038,N,01131.000,E,1,08,0.9,545.4,M*47..Temp=21.5C Hum=48
SERIAL DECODE - 240B FRAME	text	72	66	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	268	66	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	488	66	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	84	0	0	1	16777215	-1	0	1	enable	% Batt=3.97V OK..
SERIAL DECODE - 240B FRAME	text	72	84	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	268	84	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	488	84	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	102	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	72	102	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	268	102	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	488	102	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	120	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	72	120	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	268	120	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	488	120	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	138	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	72	138	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	268	138	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	488	138	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	156	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	72	156	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	268	156	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	488	156	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	174	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	72	174	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	268	174	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	488	174	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	192	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	72	192	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	268	192	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	488	192	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	210	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	72	210	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	268	210	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	488	210	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	228	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	72	228	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	268	228	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	488	228	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	246	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	72	246	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	268	246	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	488	246	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	264	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	72	264	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	268	264	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	488	264	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	282	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	72	282	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	268	282	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	488	282	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	300	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	72	300	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	268	300	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	488	300	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	318	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	72	318	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	268	318	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	488	318	0	0	1	16777215	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	8	342	0	0	1	11579568	-1	0	1	enable	FRAME TEXT pg 1/1 bytes 1-97/97 win 192 [done]
SERIAL DECODE - 240B FRAME	text	478	342	0	0	1	11579568	-1	0	1	enable	log: NOT LOGGING
SERIAL DECODE - 240B FRAME	text	675	342	0	0	1	4259648	-1	0	1	enable	TRIG IN?
SERIAL DECODE - 240B FRAME	button	645	160	140	0	1	16777215	-1	0	1	enable	Lock Rate
SERIAL DECODE - 240B FRAME	text	684	48	0	0	1	11053224	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	744	48	0	0	1	16777215	-1	2	1	enable	
SERIAL DECODE - 240B FRAME	text	750	48	0	0	1	11053224	-1	0	1	enable	
SERIAL DECODE - 240B FRAME	text	788	48	0	0	1	16777215	-1	2	1	enable	
SERIAL DECODE - 240B FRAME	button	8	362	120	0	1	16777215	-1	0	1	enable	Capture
SERIAL DECODE - 240B FRAME	button	152	362	90	0	1	16777215	-1	0	1	enable	View
SERIAL DECODE - 240B FRAME	button	266	362	100	0	1	16777215	-1	0	1	enable	Mode
SERIAL DECODE - 240B FRAME	button	390	362	112	0	1	16777215	-1	0	1	enable	NewLog
SERIAL DECODE - 240B FRAME	button	526	362	112	0	1	16777215	-1	0	1	enable	Save
SERIAL DECODE - 240B FRAME	button	662	362	112	0	1	16777215	-1	0	1	enable	Options
SERIAL DECODE OPTIONS	editopt	270	6	0	0	1	16777215	-1	0	1	enable	Protocol	sets the wire parameters	UART
SERIAL DECODE OPTIONS	editnum	270	56	0	0	1	16777215	-1	0	1	enable	Baud Rate	0 = auto-detect	9600 Bd
SERIAL DECODE OPTIONS	editopt	270	106	0	0	1	16777215	-1	0	1	enable	Data Bits	auto, or fix it	8
SERIAL DECODE OPTIONS	editopt	270	156	0	0	1	16777215	-1	0	1	enable	Parity	auto or fixed	None
SERIAL DECODE OPTIONS	editopt	270	206	0	0	1	16777215	-1	0	1	enable	Polarity	idle level	Auto
SERIAL DECODE OPTIONS	editopt	270	256	0	0	1	16777215	-1	0	1	enable	Trigger	capture start	Free run
SERIAL DECODE OPTIONS	editopt	270	306	0	0	1	16777215	-1	0	1	enable	Rear BNC	trig in / flow-control out	Off
SERIAL DECODE OPTIONS	button	22	360	200	0	1	16777215	-1	0	1	enable	Auto Detect
SERIAL DECODE OPTIONS	button	234	360	220	0	1	16777215	-1	0	1	enable	Lock Detected
SERIAL DECODE OPTIONS	button	466	360	150	0	1	16777215	-1	0	1	enable	Apply
SERIAL DECODE OPTIONS	button	628	360	150	0	1	16777215	-1	0	1	enable	Cancel
